DDC,Title,Description
165,Paradoxes from A to Z,"Paradoxes from A to Z, Third edition is the essential guide to paradoxes, and takes the reader on a lively tour of puzzles that have taxed thinkers from Zeno to Galileo, and Lewis Carroll to Bertrand Russell. Michael Clark uncovers an array of conundrums, such as Achilles and the Tortoise, Theseus' Ship, and the Prisoner's Dilemma, taking in subjects as diverse as knowledge, science, art and politics. Clark discusses each paradox in non-technical terms, considering its significance and looking at likely solutions. This third edition is revised throughout, and adds nine new paradoxes that have important bearings in areas such as law, logic, ethics and probability. Paradoxes from A to Z, Third edition is an ideal starting point for those interested not just in philosophical puzzles and conundrums, but anyone seeking to hone their thinking skills."
165,"Yours Till Niagara Falls, Abby",Ten-year-old Abby faces two months of summer camp without her best friend.
167,A Dangerous Promise,"After being taken in by Captain Taylor and his wife in Kansas, twelve-year-old Mike Kelly and his friend Todd Blakely join the Union army as musicians and see the horrors of war firsthand in Missouri."
167,Keeping Secrets,"In 1863, eleven-year-old Peg Kelly is drawn into the dangerous activities of a mysterious young woman who had come to her home in Missouri after fleeing the raid of William Quantrill and his raiders on Lawrence, Kansas."
167,Circle of Love,"Nineteen-year-old Frances Mary Kelly, herself an orphan train rider six years before, returns to New York and agrees to escort a group of orphans west to find new homes."
167,Just For You! Mommy's Bed,"A boy relates all the things he and his sisters do in their mother's bed--such as read, tickle, and play--that make it the best place to be. Includes activity ideas for parents and children."
167,"The Philosophy of 'As If': A System of the Theoretical, Practical and Religious Fictions of Mankind","Widely acknowledged today as a philosophical masterwork, this Routledge Classics edition includes a new foreword by Michael Rosenthal, which provides fascinating and important background to Vaihinger's life and the legacy of The Philosophy of 'As If'."
167,Top Cow,"Everybody loved Kenji and Kit in the school show. They played the cow, and they were great. But now they're stuck in the cow costume, and everyone thinks they are a real cow. Something must be done before this goes too far."
167,Dunkel Takes a Walk,"When Dunkel, a dog, ventures into the forest, he uses his wits to escape from the dangerous animals that capture him."
167,Advances in Quasi-Experimental Design and Analysis (New Directions for Evaluation),"The intent of this volume of New Directions for Program Evaluation is to update, even to alter, our thinking about quasi-experimentation in applied social research and program evaluation. This volume makes the case that we have moved beyond the traditional thinking on quasi-experiments as a collection of specific designs and threats to validity toward a more integrated, synthetic view of quasi-experimentation as part of a general logical epistemological framework for research. This is the 31st issue of New Directions for Program Evaluation. For more information on the series, please see the Journals and Periodicals page."
167,Waiting for the Norah Ben,Her father's at sea. A storm is raging. And that's not the worst of it. Will Norah's birthday end in disaster?
167,Supposition and the Imaginative Realm,"Supposition is frequently invoked in many fields within philosophy, including aesthetics, philosophy of mind, philosophy of science and epistemology. However, there is a striking lack of consensus about the nature of supposition. This book will be of great interest to students of philosophy of psychology, aesthetics, philosophy of mind, philosop"
167,"British decolonisation, 1918-1984","Few subjects have aroused more controversy in recent years than that of empire, and that of the British Empire in particular. Few other subjects are of greater importance to todayas world. How the British Empire was created and maintained, and the impact it had on both the colonised and the colonisers, have been the source of long-running and heated debates amongst historians, politicians and in the media. For several decades it has been analysed from numerous different perspectives, providing a wide range of differing interpretations. Over recent years, new studies have extended the scope of imperial history into previously ignored fields that have significantly added to our understanding. Imperial history can, therefore, no longer be regarded as the exclusive realm of the political historian, or the reserve of an essentially British approach. - - The British Empire was complex. Each of the far-flung components that made it up had its own particularities. At various times and in various places it took on different forms and had different meanings. It affected people across the globe in a multitude of ways. This inevitably produces a multi-facetted picture. The large number of actors, in Britain and in the colonised world, who played a part in its history adds to this impression. As a consequence, it is difficult to come up with one, all-encompassing, history of the British Empire. - - All these aspects of the British Empire are apparent in the story of how it ended. What precisely decolonisation was, how it came about, and what it meant for the British and for those who gained their independence, varied considerably from one part of the Empire to another, and from one period to another. How these changes came about, how independence was won across the colonial world, and how it was resisted, are dealt with here across a selection of different case studies. Understanding how the British Empire collapsed tells us a great deal about what this Empire was and about its legacy in todayas world."
168,A Rulebook for Arguments,"From academic writing to personal and public discourse, the need for good arguments and better ways of arguing is greater than ever before. This timely fifth edition of A Rulebook for Arguments sharpens an already-classic text, adding updated examples and a new chapter on public debates that provides rules for the etiquette and ethics of sound public dialogue as well as clear and sound thinking in general."
168,The Art of Always Being Right,"Collected here are six short essays, The Basis of All Dialect, Stratagems, On the Comparative Place of Interest and Beauty in Works of Art, Psychological Observations, On the Wisdom of Life: Aphorisms, and, Genius and Virtue, by the world renowned philosopher Arthur Schopenhauer."
168,An Illustrated Book of Bad Arguments,"Have you read (or stumbled into) one too many irrational online debates? Ali Almossawi certainly had, so he wrote An Illustrated Book of Bad Arguments! This handy guide is here to bring the internet age a much-needed dose of old-school logic (really old-school, a la Aristotle). Here are cogent explanations of the straw man fallacy, the slippery slope argument, the ad hominem attack, and other common attempts at reasoning that actually fall short-plus a beautifully drawn menagerie of animals who (adorably) commit every logical faux pas. Rabbit thinks a strange light in the sky must be a UFO because no one can prove otherwise (the appeal to ignorance). And Lion doesn't believe that gas emissions harm the planet because, if that were true, he wouldn't like the result (the argument from consequences). Once you learn to recognize these abuses of reason, they start to crop up everywhere from congressional debate to YouTube comments-which makes this geek-chic book a must for anyone in the habit of holding opinions."
168,The Art of Deception: An Introduction to Critical Thinking,"Do you know when you're being deceived? Can you trust the information coming from Washington, the media, and the Internet? This classic work on critical thinking uses a novel approach to teach the basics of informal logic. On the assumption that ""it takes one to know one,"" the authors have written the book from the point of view of someone who wishes to deceive, mislead, or manipulate others. Having mastered the art of deception, readers will then be able to detect the misuse or abuse of logic when they encounter it in others -- whether in a heated political debate or while trying to evaluate the claims of a persuasive sales person. Using a host of real-world examples, the authors show you how to win an argument, defend a case, recognize a fallacy, see through deception, persuade a skeptic, and turn defeat into victory. Whether you're evaluating a social media rumor or you just want to become more adept at making your points and analyzing others' arguments, The Art of Deception--now with an updated preface--will give you the intellectual tools to become a more effective thinker and speaker. Helpful exercises and discussion questions are also included."
168,Current Issues and Enduring Questions: A Guide to Critical Thinking and Argument with Readings,"Comprehensive coverage of classic and contemporary approaches to argument, including Aristotle, Toulmin, and a range of alternative views, making it a versatile text. Readings on contemporary controversies (including the purpose of a college education, immigration, a peacetime draft, and obesity) and classic philosophical questions (such as, ""How free is the will of the individual?"") are sure to spark student interest and lively discussion and writing. Refined through seven previous editions, it has been revised to address current student interests and trends in argument, research, and writing, and has been updated with compelling new topics and readings and more on analyzing visuals and presenting oral arguments."
168,The Uses of Argument,"A central theme throughout the impressive series of philosophical books and articles Stephen Toulmin has published since 1948 is the way in which assertions and opinions concerning all sorts of topics, brought up in everyday life or in academic research, can be rationally justified. Is there one universal system of norms, by which all sorts of arguments in all sorts of fields must be judged, or must each sort of argument be judged according to its own norms? In The Uses of Argument (1958) Toulmin sets out his views on these questions for the first time. In spite of initial criticisms from logicians and fellow philosophers, The Uses of Argument has been an enduring source of inspiration and discussion to students of argumentation from all kinds of disciplinary background for more than forty years."
168,The New Rhetoric: A Treatise on Argumentation,"The New Rhetoric is founded on the idea that since ""argumentation aims at securing the adherence of those to whom it is addressed, it is, in its entirety, relative to the audience to be influenced, "" says Chai?m Perelman and L. Olbrechts-Tyteca, and they rely, in particular, for their theory of argumentation on the twin concepts of universal and particular audiences: while every argument is directed to a specific individual or group, the orator decides what information and what approaches聽will achieve the greatest adherence according to an ideal audience. This ideal, Perelman explains, can be embodied, for example, ""in God, in all reasonable and competent men, in the man deliberating or in an elite."" Like particular audiences, then, the universal audience is never fixed or absolute but depends on the orator, the content and goals of the argument, and the particular audience to whom the argument is addressed. These considerations determine what information constitutes ""facts"" and ""reasonableness"" and thus help to determine the universal audience that, in turn, shapes the orator's approach. The adherence of an audience is also determined by the orator's use of values, a further key concept of the New Rhetoric. Perelman's treatment of value and his view of epideictic rhetoric sets his approach apart from that of the ancients and of Aristotle in particular. Aristotle's division of rhetoric into three genres-forensic, deliberative, and epideictic-is largely motivated by the judgments required for each: forensic or legal arguments require verdicts on past action, deliberative or political rhetoric seeks judgment on future action, and epideictic or ceremonial rhetoric concerns values associated with praise or blame and seeks no specific decisions. For Aristotle, the epideictic genre was of limited importance in the civic realm since it did not concern facts or policies. Perelman, in contrast, believes not only that epideictic rhetoric warrants more attention, but that the values normally limited to that genre are in fact central to all argumentation. ""Epideictic oratory, "" Perelman argues, ""has significant and important argumentation for strengthening the disposition toward action by increasing adherence to the values it lauds."" These values are central to the persuasiveness of arguments in all rhetorical genres since the orator always attempts to ""establish a sense of communion centered around particular values recognized by the audience."""
168,Understanding Arguments: An Introduction to Informal Logic,"Construct effective arguments with UNDERSTANDING ARGUMENTS: AN INTRODUCTION TO INFORMAL LOGIC, 8th Edition. Primarily an introduction to informal logic, this text provides a guide to understanding and constructing arguments in the context of academic studies and subsequent professional careers. Exercises, discussion questions, and readings help clarify difficult concepts and make the material meaningful and useful."
168,Good Job Kanani,"When a ten-year-old Hawaiian girl spends more time selling ""shave ice"" and less time surfing, her relationship with her best friend begins to unravel."
168,The Logic of Real Arguments,"This new and expanded edition of The Logic of Real Arguments explains a distinctive method for analysing and evaluating arguments. It discusses many examples, ranging from newspaper articles to extracts from classic texts, and from easy passages to much more difficult ones. It shows students how to use the question 'What argument or evidence would justify me in believing P?', and also how to deal with suppositional arguments beginning with the phrase 'Suppose that X were the case.' It aims to help students to think critically about the kind of sustained, theoretical arguments which they commonly encounter in the course of their studies, including arguments about the natural world, about society, about policy, and about philosophy. It will be valuable for students and their teachers in a wide range of disciplines including philosophy, law and the social sciences."
168,Informal Logic: A Handbook for Critical Argumentation,"This is an introductory guidebook to the basic principles of how to construct good arguments and how to criticeze bad ones. It is non-technical in its approach and is based on 150 key examples, each discussed and evaluated in clear, illustrative detail. Professor Walton, a leading authority in the field of informal logic, explains how errors, fallacies, and other key failures of argument occur. He shows how correct uses of argument are based on sound strategies for reasoned persuasion and critical responses. Among the many subjects covered are: forms of valid argument, relevance, appeals to emotion, personal attack, uses and abuses of expert opinion, problems in deploying statistics, loading terms, equivocation, arguments from analogy, and techniques of posing, replying to, and criticizing questions. The book will be ideally suited to courses in informal logic and in the introduction to philosophy. It will also prove valuable to studetns of pragmatics, rhetoric, and speech communication."
168,A Practical Study of Argument,"This book provides students with a practical understanding of argument with enriched examples while maintaining philosophical soundness. The fifth edition of this widely acclaimed text continues to provide an integration of formal and informal logic, and fallacies and arguments in a clearly presented and theoretically sensible fashion."
168,How to Argue with a Cat: A Human's Guide to the Art of Persuasion,"Learn how to persuade cats--the world's most skeptical and cautious negotiators--with this primer on rhetoric and argument from the New York Times bestselling author of Thank You for Arguing! Cats are skilled manipulators who can talk you into just about anything without a single word (or maybe a meow or two). They can get you to drop whatever you're doing and play with them. They can make you serve their dinner way ahead of schedule. They can get you to sit down right this instant and provide a lap. On the other hand, try getting a cat to do what you want.... While it's hard, persuading a cat is possible. And after that, persuading humans becomes a breeze, and that is what you will learn in this book. How to Argue with a Cat will teach you how to: · Hold an intelligent conversation--one of the few things easier to do with a cat than a human. · Argue logically, even if your opponent is furry and irrational. · Hack up a fallacy (the hairball of logic). · Make your body do the talking (cats are very good at this). · Master decorum: the art of fitting in with cats, venture capitalists, or humans. · Learn the wisdom of predator timing to pounce at the right moment. · Get someone to do something or stop doing it. · Earn any creature's respect and loyalty."
168,Think Again: How to Reason and Argue,"In a polarized world, a good argument can help create understanding, respect, and compromise. The key is the word ""good"" : arguments should not resort to put-downs, abuse, accusations, or avoidance of issues. Sinnott-Armstrong shows readers what arguments are-- and what good they can do. When one understands and appreciates strong evidence, it is not necessary to ""win"" the argument merely to engage in constructive conversations."
173,Deep and Dark and Dangerous,"When thirteen-year-old Ali spends the summer with her aunt and cousin at the family's vacation home, she stumbles upon a secret that her mother and aunt have been hiding for over thirty years."
173,The Graduation of Jake Moon,Fourteen-year-old Jake recalls how he has spent the last four years of his life watching his grandfather descend slowly but surely into the horrors of Alzheimer's disease.
173,Making Brothers and Sisters Best Friends,"Discusses how brothers and sisters can become best friends. Each chapter has a section by each of the three authors, giving the book three perspectives and three personalities."
173,The Ghost of Fossil Glen,Allie knows it's not her imagination when she hears a voice and sees in her mind's eye the face of a girl who seems to be seeking Allie's help.
173,Marriage and Morals,"Marriage and Morals is a compelling cross-cultural examination of individual, familial and societal attitudes towards sex and marriage. By exploring the codes by which we live our sexual lives and conventional morality, Russell daringly sets out a new morality, shaped and influenced by dramatic changes in society such as the emancipation of women and the wide-spread use of contraceptives. From the origin of marriage to the influence of religion, Russell explores the changing role of marriage and codes of sexual ethics. The influence of this great work has turned it into a worthy classic."
173,Math Rashes and Other Classroom Tales,This collection of nine short stories presents episodes of education gone awry.
173,Jess (American Girl Today),"When ten-year-old Jess McConnell meets a new friend on her trip to the ancient Maya ruins in Belize, she is invited on an eco-adventure and makes some real discoveries--about the dangers in the Belizean jungle, about the people who have lived there since long ago, and about herself."
173,Haven,"Violet McKenna's life started falling apart when a premonition of her father's murder came true, but at a new school, Winterhaven, she finds friends with psychic gifts and an alluring boy whose destiny is entwined with hers in a critical--and deadly--way."
173,The Dead Man in Indian Creek,"When Matt and Parker learn the body they found in Indian Creek is a drug-related death, they fear Parker's mother may be involved."
173,QB 1,"Jake Cullen, fourteen, lives in the shadows of his father and older brother until he becomes the starting quarterback for the high school football team and finally has his chance to shine."
173,Danger Zone,"When he joins a predominantly black ""Teen Dream Team"" that will be representing the United States in an international basketball tournament in Rome, Jimmy Doyle makes some unexpected discoveries about prejudice, racism, and politics."
173,Kisses and Lies,"Orphaned British teenager Scarlett Wakefield postpones her romance with the handsome son of the school groundskeeper in order to travel to Scotland with her American sidekick, Taylor, in search of clues to the murder of a boy who dropped dead after kissing Scarlett."
173,Danger on the Great Lakes,Diamonds are a girl's best friend--or are they? There's more excitement on this cruise ship than Nancy bargained for!
173,The Fashion Disaster That Changed My Life,Seventh-grader Alli inadvertently arrives on the first day of school with underwear static-clinging partly outside her pant leg.
173,The Wizard Test,"Fourteen year-old Dayven is devastated when he learns he has wizard powers, since wizards are considered to be disloyal deceivers who believe in nothing, until he undergoes wizard training and discovers a new way of looking at the world that will change his values, friendships, and future."
173,Scored,"Set in the future when teenagers are monitored via camera and their recorded actions and confessions plugged into a computer program that determines their ability to succeed. All kids given a ""score"" that determines their future potential. This score has the ability to get kids into colleges, grant scholarships, or destroy all hope for the above. Scored's reluctant heroine is Imani, a girl whose high score is brought down when her best friend's score plummets. Where do you draw the line between doing what feels morally right and what can mean your future? Friendship, romance, loyalty, family, human connection and human value: all are questioned in this fresh and compelling dystopian novel set in the scarily forseeable future."
173,Confessions of a Serial Kisser,"After reading her mother's secret collection of romance novels during her parent's difficult separation, seventeen-year-old Evangeline Logan begins a quest for the perfect kiss."
173,Vincent Shadow: Toy Inventor,"Eleven-year-old Vincent Shadow, inspired by the ideas of the inventor Nikola Tesla, has always kept his many unusual toy inventions secret from his family until he enters a contest whose prize is to spend a summer working with the eccentric Howard G. Whizz of Whizzer Toys."
173,33 Minutes,"An epic lunch period leads to a fateful showdown as small, skinny seventh-grader Sam's former best friend--now a popular athlete--promises to beat Sam up at recess in exactly thirty-three minutes."
176,When the Fly Flew In . . .,"Although a young child puts off cleaning the bedroom because all the family's pets are asleep there, the sudden arrival of a zooming fly mysteriously gets the job done."
176,Class Picture Day,The only student to stick her tongue out in the class picture has to figure out how to fix this terrible mistake.
176,No Dogs Allowed!,"After losing her beloved horse, Kristine decides she will never get close to another pet. So when her father surprises her with a new puppy, she is furious. But how can an animal-loving girl resist a puppy that just wants to be loved?"
176,"No More Pencils, No More Books, No More Teacher's Dirty Looks!","Gilbert and his first-grade classmates are nervous about their performance on the last day of school, curious about the awards they will receive, sad to be leaving their teacher, and excited about summer vacation."
176,Eleven,The year between turning eleven and turning twelve bring many changes for Winnie and her friends.
176,Inspector Hopper,Inspector Hopper and his perpetually hungry assistant McBugg solve three mysteries for their insect friends.
176,Vampires Do Hunt Marshmallow Bunnies,All the candy is suddenly missing in Bailey City. What will happen to the Easter egg hunt without candy?
176,Albert's Alphabet,Clever Albert uses all the supplies in his workshop to build an alphabet for the school playground.
176,Lust: The Seven Deadly Sins,"Lust, says Simon Blackburn, is furtive, headlong, always sizing up opportunities. It is a trail of clothing in the hallway, the trashy cousin of love. But be that as it may, the aim of this delightful book is to rescue lust """"from the denunciations of old men of the deserts, to deliver it from the pallid and envious confessor and the stocks and pillories of the Puritans, to drag it from the category of sin to that of virtue."""". Blackburn, author of such popular philosophy books as Think and Being Good, here offers a sharp-edged probe into the heart of lust, blending together insight from some"
176,The Saturday Triplets in Teacher Trouble!,The triplets are playing teacher. But their students are animals! Will they give their class an A+?
176,Look Before You Leap,"It's summer, and Abby Hayes has nothing to do. So it's the perfect time to get a pet! Abby is sure that she can handle the responsibility. But things don't go as planned, and by the time she adopts a kitten, Abby's summer has taken a turn for the better. She has a new friend at camp and a contest to win. Can she keep up with her kitten, too?"
176,Ice Bear and Little Fox,Describes how a polar bear and the little fox that follows it survive over the course of a year in the Arctic. Includes afterword with facts about Arctic animals and Inuit peoples.
176,An Ethics of Sexual Difference,"Irigaray speaks out against the egalitarian project of feminism, arguing that all thought and language is gendered and that there can be no neutral thought. Counterposing classical philosophical texts with meditations on the female experience, she advocates new philosophies grounded in women's experience, through which women can develop a distinctly female space and a love of self."
176,First Grade Stinks!,"First-grader Haley wishes she were back having fun in kindergarten with her old teacher, until she finds out that first-grade is special, too."
176,"Oh Say, I Can't See","After arriving in Pennsylvania during the winter of 1776, time travelers Joe, Fred, and Samantha inspire General George Washington, ""the man on the one dollar bill,"" to carry out a surprise attack on Hessian troops in Trenton, New Jersey, that will change the course of the Revolutionary War."
176,If I Had a Robot,"Phil imagines the advantages of having a robot, from feeding it his vegetables to becoming king of the playground."
176,Boo to You!,"When the neighborhood cat tries to crash the mice's harvest party, the mice have a plan to scare the intruder away."
176,"Redesigning Humans: Choosing our genes, changing our future","Cloning and genetic engineering are here now and cannot be stopped. Far from being terrified we should celebrate these new technologies for making a better future, argues Gregory Stock"
176,The ethics of sex,"Combining scientific understanding and Christian insight, this is a comprehensive and magisterial discussion of the theology of sexual ethics, ranging from sexual relationships and gender equality to birth control and artificial insemination."
176,Remaking Eden,"Could a child have two genetic mothers? Will parents someday soon be able to choose not only the physical characteristics of their children-to-be, but their personalities and talents as well? Will genetic enhancement ultimately lead to a split in the human species?In this brilliant, provocative, and necessary book, Lee M. Silver takes a cautiously optimistic look at the scientific advances that will allow us to engineer life in ways that were unimaginable just a few short years ago--indeed, in ways that go far beyond cloning. In clear, engaging, and accessible prose, Silver demystifies the science behind a myriad of thrilling and frightening new possibilities, in a book that is essential reading for anyone who wants to understand the hopes and dilemmas of the American family in the twenty-first century."
