mds_code,bookid,title,description
651,11519503,Using Microsoft InfoPath 2010 with Microsoft SharePoint 2010 Step by Step,"The smart way to learn how to build InfoPath forms for SharePoint-one step at a time! Quickly teach yourself how to use Microsoft® InfoPath® 2010 to create electronic business forms for Microsoft SharePoint® 2010. With Step by Step, you set the pace-building and practicing the skills you need, just when you need them! Design and build InfoPath forms without writing codeAdd approval workflows to your InfoPath formsIntegrate data from SharePoint and other company systemsCreate forms that offer a rich experience in the browserBui"
651,1162822,Corporate Conversations: A Guide to Crafting Effective and Appropriate Internal Communications,"Everything a company says sends a message to its employees. Organizations that communicate well with their employees boast higher profitability, better customer acquisition and retention, and enhanced reputation. Without a strategically managed employee communications strategy, results suffer. Corporate Conversations is a comprehensive guide to crafting and delivering vital internal messages. The book covers a broad range of issues, including: * the four types of corporate and business communications (human resources, business-related, legal, and informal) * how to communicate bad news * managing employee-to-employee communication * how to measure the impact of internal communications With valuable strategies for aligning all business correspondence with the company message, Corporate Conversations shows professionals at all levels how to improve their communication skills and maximize the power of both traditional and hi-tech communication tools."
651,11700697,Stress-Proof Your Business and Your Life,"Running a business can be incredibly stressful. In fact, many people regard stress as one of the biggest problems facing business owners. Stress-proof your business and your life has been designed specifically to help entrepreneurs, business owners and managers stress-proof their personal, financial and business concerns. It is intensely practical and down to earth, exactly the sort of advice that a really good professional would give to clients and friends."
651,11752101,"How to Write It, Third Edition: A Complete Guide to Everything You'll Ever Write (How to Write It: Complete Guide to Everything You'll Ever Write)","Provides examples and advice on writing announcements, condolences, invitations, cover letters, resumes, recommendations, memos, proposals, reports, collection letters, direct-mail, press releases, and e-mail."
651,118029,Talking From 9 to 5,"""Required reading…sharp and insightful…lively and straightforward…a novel and sometimes startling analysis of workplace dynamics.""-New York Times Book Review In her extraordinary international bestseller, You Just Don't Understand, Deborah Tannen transformed forever the way we look at intimate relationships between women and men. Now she turns her keen ear and observant eye toward the workplace-where the ways in which men and women communicate can determine who gets heard, who gets ahead, and what gets done. An instant classic, Talking From 9 to 5 brilliantly explains women's and men's conversational rituals-and the language barriers we unintentionally erect in the business world. It is a unique and invaluable guide to recognizing the verbal power games and miscommunications that cause good work to be underappreciated or go unnoticed-an essential tool for promoting more positive and productive professional relationships among men and women."
651,118234,Working Wounded: Advice That Adds Insight to Injury,"Working Wounded is for anyone who has lived in a cubicle, slaved away in the corner, or swept the shop floor. Straight from Rosner's syndicated column come these hilarious remedies for dealing with common work ailments. Illustrated by cartoonist Robert Mankoff of ""The New Yorker""."
651,11839359,"Hacking Healthcare: A Guide to Standards, Workflows, and Meaningful Use","Ready to take your IT skills to the healthcare industry? This concise book provides a candid assessment of the US healthcare system as it ramps up its use of electronic health records (EHRs) and other forms of IT to comply with the government's Meaningful Use requirements. It's a tremendous opportunity for tens of thousands of IT professionals, but it's also a huge challenge: the program requires a complete makeover of archaic records systems, workflows, and other practices now in place. This book points out how hospitals and doctors' offices differ from other organizations that"
651,1204417,System 370 Job Control Language,"A reference and training guide that explains the 370 Job Control Language. The book covers sort-merge, IBM utility programs, linkage editor and loader, ISAM and VSAM data sets, and the system's vocabulary and acronyms. All the major concepts and facilities of the IBM System/370 operating system are fully explained in clear concise language to provide a working knowledge of JCL."
651,12129023,Business Writing in the Digital Age,"""Business Writing for the Digital Age: A Student's Guide can be used as a core or supplementary text for business writing courses and across the Business and Management curriculum as a student aid to better writing. The text instructs business students how to write for the 21st century business environment in the style it demands: clearly, concisely, powerfully, and with individuality. It also addresses explicitly the digital realm of email, social networking, and social media strategies. The text gives writing teachers a complete structure for teaching business writing that they can adapt to their own preferences. It is also useful for professors who teach general business subjects and recognize a need to help their students write better--a need that is almost universally acknowledged. To serve these dual purposes, the book offers a flexible resource. Its lessons can be taught progressively, drawing on the assignments and discussion questions included. Or, teachers can choose to spend little class time explicitly on writing and instead, assign the book as independent study and evaluate writing progress as a component of regular assigned projects""--"
651,12182066,Integrated Electronic Health Records: A Worktext for Greenway Medical Technologies' PrimeSUITE,"Integrated Electronic Health Records: An Online Course and Worktext for Greenway Medical Technologies' PrimeSUITE#65533;. Developed as a comprehensive learning resource, this hands-on course is offered through McGraw-Hill's Connect. Connect uses the latest technology and adaptive learning techniques to better connect professors to their students, and students to the information and customized resources they need to master a subject. It includes a variety of digital learning tools that enable professors to easily customize courses and allow students to learn and master content and succeed in the course. Here's what you can expect from the Worktext: -A book meant to complement the online Connect course, written by an author with an extensive HIM/HIT background--Beth Shanholtzer, MAEd, RHIA. -Coverage of Greenway Medical Technologies' PrimeSUITE, an ONC-ATCB-Certified, fully-integrated, online EHR, PM and interoperability solution. The book is not meant to be an extensive user manual for PrimeSUITE, but rather it covers the key topics for EHR, with PrimeSUITE as the vehicle to demonstrate those topics. Attention is paid to providing the ""why"" behind each task so that the reader can accumulate transferable skills. -Content that will be appealing to HIM programs, HIT programs, MIBC programs and more. All exercises are designated with PM, EHR, HIM tags, or some combination of those three. Instructors can access a correlation of the Worktext's Learning Outcomes to the key accrediting bodies such as CAHIIM, ABHES and CAAHEP via the book's website, www.mhhe.com/greenway."
651,12218502,Hillcrest Medical Center: Beginning Medical Transcription Course [5th Ed.],"This best selling learning package uses a simulation approach to provide students with a working knowledge of the most common medical reports. Learners first transcribe a variety of reports related to 10 inpatient case studies taken from actual medical reports. Reports transcribed include history and physical examination, operative, pathology, radiology, and discharge summary. New features in this edition include: *Qauli-Care Clinic, allowing learners to transcribe a series of realistic outpatient reports.*Free practice software, providing practice in Word or WordPerfect.*CMTips including help with difficult terminology.*New Internet resources section.(medical assisting, medical transcription)ALSO AVAILABLE -INSTRUCTOR SUPPLEMENTS CALL CUSTOMER SUPPORT TO ORDERInstructor's Manual ISBN: 0-7668-0324-4Audio Tapes ISBN: 0-7668-0323-"
651,12260076,"Communicate with Confidence, Revised and Expanded Edition: How to Say it Right the First Time and Every Time","The classic business communication guide--updated for smart phones, social media, and other digital platforms Communicate clearly, tactfully, and confidently in any situation, including: Being persuasive Running productive meetings Asking the right questions Coaching Negotiating Resolving conflicts Responding to insults Offering praise Delegating responsibilities Crossing cultural divides Networking at events "" Communicate with Confidence! is . . . the clearest, most comprehensive, and most credible guide to persuasive and authentic communication available today. Dianna Booher is the master of her message and her medium. . . . After you've read it once, I'm confident you'll be consulting it frequently. Do not hesitate. Read it today, and put it to use immediately."" --Jim Kouzes, coauthor of The Leadership Challenge and Credibility , and The Dean's Executive Fellow of Leadership, Leavey School of Business, Santa Clara University "" Communicate with Confidence! is the best communication book I have seen."" --Ken Blanchard, coauthor of The One Minute Manager ® and Full Steam Ahead! ""Fully 85 percent of your success in life is contained in your ability to communicate effectively with other people. Communicate with Confidence! is full of proven, practical ways to get your point across quickly and stand out in every conversation. This book should be read and re-read over and over again!"" --Brian Tracy, bestselling author of How the Best Leaders Lead , Goals! , and Eat That Frog ""Dianna Booher produced a tremendous resource with the first edition of this book--but I'm confident this new version will be a classic. Well-organized, practical, comprehensive advice."" --Harvey Mackay, author of the #1 New York Times bestseller Swim with the Sharks without Being Eaten Alive"
651,1231694,The Workflow Imperative: Building Real World Business Solutions,"the Workflow Imperative Building Real World Business Solutions Thomas M. Koulopoulos Do your competitors lure your customers away as you sit with yesterday's market information buried in the in box? Sluggish information systems can sandbag an operation and leave you at a disadvantage while companies with automated workflow environments are responding faster and hitting the market with products that customers want, when they want them. Now you can break the paper chain phenomena and build a lean and responsive business with the business process technology that everyone is talking about: automated workflow. Workflow technology has revolutionized the way modern businesses manage information, allowing individuals to engineer change based on continual, instantaneous feedback. This popular new technology works hand-in-glove with Total Quality Management (TQM) and will allow you to: Slash process cycle time Accelerate product innovation Increase customer responsiveness Written by the industry's leading authority on workflow, The Workflow Imperative explains workflow automation in simple, clear, and easy-to-understand terms. The book contains everything you need to know, plan, and manage both the workflow process and the technology. You'll learn about the history of workflow, its impact on conventional business models, its relationship to reengineering, as well as the technology itself. You'll be able to quickly and easily define your organization's workflow requirements by using one of several methods of analysis presented in the book. Which type of reengineering is for you? Case studies of actual implementations illustrate options, plus the author explains how to combine any of four development methods and three process models so you can customize the application that's best for you. You'll also get plenty of help evaluating the myriad of workflow applications flooding today's market. The author details exactly what each workflow component will and will not do, so you can tailor your choice to fit your organization and its existing technological needs. Whether you're looking for solutions to support reengineering or just want to simplify information management, The Workflow Imperative has the answers you need in a language you can understand."
651,12350058,"Perfect Phrases for Office Professionals: Hundreds of ready-to-use phrases for getting respect, recognition, and results in today’s workplace (Perfect Phrases Series)","THE RIGHT PHRASE FOR EVERY SITUATION . . . EVERY TIME As an office professional, you are the point person for critical day-to-day activities. That means effective communication with your manager and internal and external stakeholders is key to the success of your office and organization. Perfect Phrases for Office Professionals has hundreds of ready-to-use phrases for any situation you're likely to face. From defining your role in the office to promoting interdepartmental communication to getting the credit you deserve, this handy, quick-reference guide provides the most effective language to: Establish a quality relationship with your manager Clarify and manage assignments Get results without formal authority Handle customer complaints like a pro"
651,12466647,Paper flow : the ultimate guide to making paperwork easy,"Tame your paperwork beast in just 10 minutes a day! Are you wasting your hard earned money on late fees and fines? Does your inbox look more like an outhouse? Do you lose precious time searching for receipts, forms, or other important documents? Do you wonder what it would be like if you had a reliable, easy-to-use paper management system to restore order to your life? Stop wondering. The perfect guide for anyone who dreams of digging out from under their paperwork nightmare, Paper Flow arms you with a beautifully simple system for handling all the paper in your life. Never again will you waste valuable time on mad hunts through purses and pockets and piles of disparate papers for airline tickets, prescriptions, vouchers, invitations, phone numbers, or winning lottery tickets. With minimal effort, and just ten minutes a day, you'll conquer routine tasks like paying bills, handling correspondence, and filing. And you'll manage projects at home or work in less time than you ever thought possible. A simple, easy-to-use system for getting on top of your paperwork and keeping it organized and flowing A companion website features checklists, templates, plus a free program, The 28 Day Challenge, that helps you start bringing your paperwork beast to heel right away Provides a framework that allows you to create a system that's tailor-made for your needs and lifestyle"
651,12947355,Guide to Clinical Documentation,"Develop the skills you need to effectively and efficiently document patient care for children and adults in clinical and hospital settings. This handy guide uses sample notes, writing exercises, and EMR activities to make each concept crystal clear, including how to document history and physical exams and write SOAP notes and prescriptions. This edition has been completely revised and upgraded with more in-depth coverage of documentation and its ramifications, more documentation samples to analyze and emulate, and even more learning tools."
651,1310336,Mina's Guide to Minute Taking,"Offers practical, systematic advice on how to handle the minute taking job with clarity and confidence. Create concise, objective and useful minutes, even from a poorly run meeting."
651,1317696,Lesikar's Basic Business Communication,This revised eighth edition of the text focuses on writing skills and emphasizes the process of communication by explaining a concept and then illustrating this through an example.
651,13207540,"Office Weapons: Catapults, Darts, Shooters, Tripwires, and Other Do-It-Yourself Projects to Fortify Your Cubicle",Bored in your office? Did your coworker just prank you and you're wondering how to get him back? Is your boss constantly stealing your paperclips and you don't know how to keep his mitts away from your desk? Office Weapons gives you the complete step-by-step instructions for thirty different daring office pranks. Check out these simple but effective weapons fashioned from office materials and be prepared next time someone borrows your special stapler or leaves the copy machine jammed. Just a few of the projects you'll find inside: Office Booby Trap Simple Paper Clip Gun Office Sling Shot Arrows for Paper Clip Bow How to Make Cool Nun Chucks with Office Supplies Office Stationery Darts Binder Clip Catapult Office Supplies Grappling Gun These projects are made by the best in the business; the office workers who actually need them! They say necessity is the mother of invention; leave it to the Instructables community to put that theory to the test!
651,13256438,The Sketchnote Handbook: the illustrated guide to visual note taking,"This gorgeous, fully illustrated handbook tells the story of sketchnotes--why and how you can use them to capture your thinking visually, remember key information more clearly, and share what you've captured with others. Author Mike Rohde shows you how to incorporate sketchnoting techniques into your note-taking process--regardless of your artistic abilities--to help you better process the information that you are hearing and seeing through drawing, and to actually have fun taking notes. The Sketchnote Handbook explains and illustrates practical sketchnote techniques for taking visual notes at your own pace as well as in real time during meetings and events. Rohde also addresses most people's fear of drawing by showing, step-by-step, how to quickly draw people, faces, type, and simple objects for effective and fast sketchnoting. The book looks like a peek into the author's private sketchnote journal, but it functions like a beginner's guide to sketchnoting with easy-to-follow instructions for drawing out your notes that will leave you itching to attend a meeting just so you can draw about it."
651,1327953,The Littlest Lighthouse,A little lighthouse learns to take responsibility for the boats and ships that must be guided by his light at night and by his horn in the fog.
651,13303383,"The Definitive Executive Assistant and Managerial Handbook: A Professional Guide to Leadership for all PAs, Senior Secretaries, Office Managers and Executive Assistants","From best-selling author and expert Sue France, The Definitive Executive Assistant & Managerial Handbook is the ultimate guide for anyone who wants to take their career development to the next level. Placing special emphasis on personal leadership development as well as practical skills, you will learn how to manage a small team, climb the career ladder to gain more responsibility, negotiate effectively and confidently manage a project. It will teach you how to recruit and induct staff, make decisions fairly and consistently, build a productive team and environment and get noticed at work. For ambitious Assistants who want to continually improve their skills, The Definitive Executive & Managerial Handbook is an indispensable guide, helping you to maintain your professional image and achieve resounding success."
651,13303414,Medical Billing and Coding For Dummies,"The definitive guide to starting a successful career in medical billing and coding With the healthcare sector growing at breakneck speed ?it's currently the largest employment sector in the U.S. and expanding fast ?medical billing and coding specialists are more essential than ever. These critical experts, also known as medical records and health information technicians, keep systems working smoothly by ensuring patient billing and insurance data are accurately and efficiently administered. This updated edition provides everything you need to begin ?and then excel in ?your chosen career. From finding the right study course and the latest certification requirements to industry standard practices and insider tips for dealing with government agencies and insurance companies, Medical Billing & Coding For Dummies has you completely covered. Find out about the flexible employment options available and how to qualify Understand the latest updates to the ICD-10 Get familiar with ethical and legal issues Discover ways to stay competitive and get ahead The prognosis is good ?get this book today and set yourself up with the perfect prescription for a bright, secure, and financially healthy future!."
651,13415732,"The Definitive Personal Assistant & Secretarial Handbook: A Best Practice Guide for All Secretaries, PAs, Office Managers and Executive Assistants","Written by a former Times Cre me PA of the Year, this new edition of The Definitive Personal Assistant and Secretarial Handbook is the ultimate guide for all management assistants, PAs, secretaries and executive assistants. Administrative personnel in today's workplace hold an immense influence, not only on their bosses' performance, but also on the running of the whole organisation. This best-selling book is the only resource needed to excel in one's role as an assistant, outshine bosses' expectations and go up the ladder. Placing special emphasis on career development and learning, it provide"
651,1341877,Crystal Reports 10 For Dummies,"Would you read information presented like this? No. It's just not natural. Sometimes presentation is almost as important as content. When you create a report, the goal is to provide information for readers in a format they can readily understand. Crystal Reports 10 For Dummies, the latest version of the most popular report writer in the world, shows you how to create simple or sophisticated reports, turning data into interactive, actionable reports that convey what's happening in your business. You can progress cover-to-cover or use the index to find out how to: Give your reports more pizzazz by using the correct fonts, color, drop shadows, graphic elements, and more Integrate elements from multiple, non-database sources Group sort, total result sets, cross-tab reports, and add formulas, charts, or maps Print reports Use customized Business Views gleaned from the same information to provide each reader with information he or she needs to know without spilling all the beans, sales figures, marketing information, or whatever Present multi-dimensional data in OLAP (Online Analytical Processing) cubes Get ideas from sample reports on the companion Web site Written by Allen G. Taylor, nationally known lecturer, teacher, and author of over 20 books, including Database Development for Dummies, Crystal Reports 10 For Dummies makes it crystal clear how to: Store your information securely in Crystal Repository Use Crystal Analysis 10 to display OLAP data so you and your report's readers can analyze the information in an online environment Use Crystal Enterprise to put Crystal Reports online for viewing by hundreds or thousands of people in your organization Whether you want to dazzle your company's CEO and shareholders, motivate the sales force, or simply share database information cogently, with Crystal Reports 10 For Dummies you not only make your point, you an impression. When your reports look professional, you look professional."
651,1347335,Glencoe English Workout: Language Skills for the Workplace,"Grammar tips on each exercise page and grammar summary charts throughout complement, this title includes grammar skills, punctuation, spelling, sentence structure, and paragraph writing."
